size,bw
64,0.0029159999999999998
128,0.005620999999999999
256,0.011451
512,0.022956999999999998
1024,0.045404
2048,0.08896699999999999
4096,0.1706
8192,0.314782
16384,0.557318
32768,0.8671789999999999
65536,1.25263
131072,1.7933039999999998
262144,2.219008
524288,2.3958649999999997
1048576,2.629946
2097152,2.7930509999999997
4194304,2.9181239999999997
8388608,2.976806
16777216,3.002215
33554432,3.028694
67108864,3.034947
134217728,2.888996
268435456,2.657638
536870912,2.54155
1073741824,2.53951
