type,bw,lat,size,id
D2D,0.02542,0.00000,64,1
D2D,0.05230,0.00000,128,1
D2D,0.10318,0.00000,256,1
D2D,0.19884,0.00000,512,1
D2D,0.41599,0.00000,1024,1
D2D,0.81815,0.00000,2048,1
D2D,1.66320,0.00000,4096,1
D2D,3.33507,0.00000,8192,1
D2D,7.14535,0.00000,16384,1
D2D,12.91136,0.00000,32768,1
D2D,26.64932,0.00000,65536,1
D2D,51.62266,0.00000,131072,1
D2D,106.32747,0.00000,262144,1
D2D,212.83450,0.00000,524288,1
D2D,427.50165,0.00000,1048576,1
D2D,857.29608,0.00000,2097152,1
D2D,1738.12500,0.00000,4194304,1
D2D,3195.12451,0.00000,8388608,1
D2D,3950.18286,0.00000,16777216,1
D2D,2442.01318,0.00001,33554432,1
D2D,2651.23315,0.00003,67108864,1
D2D,2761.29980,0.00005,134217728,1
D2D,2827.72705,0.00009,268435456,1
D2D,2835.55786,0.00019,536870912,1
D2D,2864.25732,0.00037,1073741824,1
D2D,0.02596,0.00000,64,1
D2D,0.05128,0.00000,128,1
D2D,0.11010,0.00000,256,1
D2D,0.19585,0.00000,512,1
D2D,0.40135,0.00000,1024,1
D2D,0.83896,0.00000,2048,1
D2D,1.62529,0.00000,4096,1
D2D,3.28100,0.00000,8192,1
D2D,6.52188,0.00000,16384,1
D2D,12.67091,0.00000,32768,1
D2D,26.64585,0.00000,65536,1
D2D,54.07618,0.00000,131072,1
D2D,108.43150,0.00000,262144,1
D2D,210.33443,0.00000,524288,1
D2D,438.77878,0.00000,1048576,1
D2D,878.14557,0.00000,2097152,1
D2D,1641.88904,0.00000,4194304,1
D2D,3104.31641,0.00000,8388608,1
D2D,3973.98633,0.00000,16777216,1
D2D,2452.20728,0.00001,33554432,1
D2D,2644.66357,0.00003,67108864,1
D2D,2762.52759,0.00005,134217728,1
D2D,2830.60400,0.00009,268435456,1
D2D,2838.63818,0.00019,536870912,1
D2D,2865.79736,0.00037,1073741824,1
D2D,0.02516,0.00000,64,1
D2D,0.05208,0.00000,128,1
D2D,0.10407,0.00000,256,1
D2D,0.20145,0.00000,512,1
D2D,0.42208,0.00000,1024,1
D2D,0.80584,0.00000,2048,1
D2D,1.62954,0.00000,4096,1
D2D,3.39770,0.00000,8192,1
D2D,6.70289,0.00000,16384,1
D2D,13.28576,0.00000,32768,1
