size,bw
64,0.02536
128,0.051654
256,0.10291999999999998
512,0.205644
1024,0.41426999999999997
2048,0.8234170000000001
4096,1.6268129999999998
8192,3.3336150000000004
16384,6.686978000000001
32768,13.111153999999999
65536,26.321757
131072,53.19433300000001
262144,106.078349
524288,210.672642
1048576,434.01338599999997
2097152,866.7078180000001
4194304,1691.398536
8388608,3110.71731
16777216,3931.487037
33554432,2448.849194
67108864,2647.293311
134217728,2763.159863
268435456,2828.802098
536870912,2836.44514
1073741824,2864.529564
