type,bw,lat,size,id
D2H-Paged,0.00540,0.00001,64,1
D2H-Paged,0.01114,0.00001,128,1
D2H-Paged,0.02169,0.00001,256,1
D2H-Paged,0.04584,0.00001,512,1
D2H-Paged,0.08760,0.00001,1024,1
D2H-Paged,0.16610,0.00001,2048,1
D2H-Paged,0.33907,0.00001,4096,1
D2H-Paged,0.64606,0.00001,8192,1
D2H-Paged,1.20559,0.00001,16384,1
D2H-Paged,2.10186,0.00002,32768,1
D2H-Paged,3.49339,0.00002,65536,1
D2H-Paged,5.18686,0.00003,131072,1
D2H-Paged,6.56344,0.00004,262144,1
D2H-Paged,8.05235,0.00007,524288,1
D2H-Paged,8.37320,0.00013,1048576,1
D2H-Paged,9.19723,0.00023,2097152,1
D2H-Paged,11.08988,0.00038,4194304,1
D2H-Paged,11.70205,0.00072,8388608,1
D2H-Paged,12.25321,0.00137,16777216,1
D2H-Paged,12.97457,0.00259,33554432,1
D2H-Paged,13.29478,0.00505,67108864,1
D2H-Paged,13.03008,0.01030,134217728,1
D2H-Paged,11.20737,0.02395,268435456,1
D2H-Paged,13.20118,0.04067,536870912,1
D2H-Paged,13.49731,0.07955,1073741824,1
D2H-Paged,0.00447,0.00001,64,1
D2H-Paged,0.01065,0.00001,128,1
D2H-Paged,0.02157,0.00001,256,1
D2H-Paged,0.04339,0.00001,512,1
D2H-Paged,0.08843,0.00001,1024,1
D2H-Paged,0.17225,0.00001,2048,1
D2H-Paged,0.33740,0.00001,4096,1
D2H-Paged,0.63602,0.00001,8192,1
D2H-Paged,1.19156,0.00001,16384,1
D2H-Paged,2.13612,0.00002,32768,1
D2H-Paged,3.44926,0.00002,65536,1
D2H-Paged,5.17458,0.00003,131072,1
D2H-Paged,6.71132,0.00004,262144,1
D2H-Paged,8.00685,0.00007,524288,1
D2H-Paged,8.67739,0.00012,1048576,1
D2H-Paged,9.12559,0.00023,2097152,1
D2H-Paged,11.40717,0.00037,4194304,1
D2H-Paged,11.94873,0.00070,8388608,1
D2H-Paged,12.64601,0.00133,16777216,1
D2H-Paged,11.91255,0.00282,33554432,1
D2H-Paged,11.70872,0.00573,67108864,1
D2H-Paged,10.96580,0.01224,134217728,1
D2H-Paged,12.36096,0.02172,268435456,1
D2H-Paged,13.21552,0.04062,536870912,1
D2H-Paged,12.27542,0.08747,1073741824,1
D2H-Paged,0.00531,0.00001,64,1
D2H-Paged,0.01102,0.00001,128,1
D2H-Paged,0.02218,0.00001,256,1
D2H-Paged,0.04343,0.00001,512,1
D2H-Paged,0.08562,0.00001,1024,1
D2H-Paged,0.17312,0.00001,2048,1
D2H-Paged,0.33464,0.00001,4096,1
D2H-Paged,0.63850,0.00001,8192,1
D2H-Paged,1.20471,0.00001,16384,1
D2H-Paged,1.67611,0.00002,32768,1
D2H-Paged,3.47302,0.00002,65536,1
D2H-Paged,5.18276,0.00003,131072,1
D2H-Paged,6.50320,0.00004,262144,1
D2H-Paged,8.15632,0.00006,524288,1
D2H-Paged,8.60900,0.00012,1048576,1
D2H-Paged,9.07897,0.00023,2097152,1
D2H-Paged,11.38550,0.00037,4194304,1
D2H-Paged,12.28524,0.00068,8388608,1
D2H-Paged,11.66032,0.00144,16777216,1
D2H-Paged,12.71598,0.00264,33554432,1
D2H-Paged,13.06131,0.00514,67108864,1
D2H-Paged,13.06197,0.01028,134217728,1
D2H-Paged,13.31221,0.02016,268435456,1
D2H-Paged,13.31963,0.04031,536870912,1
D2H-Paged,12.93648,0.08300,1073741824,1
D2H-Paged,0.00546,0.00001,64,1
D2H-Paged,0.01122,0.00001,128,1
D2H-Paged,0.02220,0.00001,256,1
D2H-Paged,0.04339,0.00001,512,1
D2H-Paged,0.08548,0.00001,1024,1
D2H-Paged,0.17081,0.00001,2048,1
D2H-Paged,0.33112,0.00001,4096,1
D2H-Paged,0.64964,0.00001,8192,1
D2H-Paged,1.21094,0.00001,16384,1
D2H-Paged,2.16863,0.00002,32768,1
D2H-Paged,3.54057,0.00002,65536,1
D2H-Paged,5.15220,0.00003,131072,1
D2H-Paged,6.83557,0.00004,262144,1
D2H-Paged,7.62379,0.00007,524288,1
D2H-Paged,8.50013,0.00012,1048576,1
D2H-Paged,10.29176,0.00020,2097152,1
D2H-Paged,10.83799,0.00039,4194304,1
D2H-Paged,11.57800,0.00072,8388608,1
D2H-Paged,12.24418,0.00137,16777216,1
D2H-Paged,12.38048,0.00271,33554432,1
D2H-Paged,12.16124,0.00552,67108864,1
D2H-Paged,13.41808,0.01000,134217728,1
D2H-Paged,13.39861,0.02003,268435456,1
D2H-Paged,12.47551,0.04303,536870912,1
D2H-Paged,12.12192,0.08858,1073741824,1
D2H-Paged,0.00540,0.00001,64,1
D2H-Paged,0.01077,0.00001,128,1
D2H-Paged,0.02179,0.00001,256,1
D2H-Paged,0.04303,0.00001,512,1
D2H-Paged,0.08400,0.00001,1024,1
D2H-Paged,0.16842,0.00001,2048,1
D2H-Paged,0.33247,0.00001,4096,1
D2H-Paged,0.67148,0.00001,8192,1
D2H-Paged,1.20117,0.00001,16384,1
D2H-Paged,2.14310,0.00002,32768,1
D2H-Paged,3.55016,0.00002,65536,1
D2H-Paged,5.06070,0.00003,131072,1
D2H-Paged,6.65172,0.00004,262144,1
D2H-Paged,8.06721,0.00006,524288,1
D2H-Paged,9.09748,0.00012,1048576,1
D2H-Paged,9.80940,0.00021,2097152,1
D2H-Paged,12.07793,0.00035,4194304,1
D2H-Paged,12.18655,0.00069,8388608,1
D2H-Paged,13.27259,0.00126,16777216,1
D2H-Paged,12.88123,0.00260,33554432,1
D2H-Paged,13.04526,0.00514,67108864,1
D2H-Paged,12.23113,0.01097,134217728,1
D2H-Paged,13.68280,0.01962,268435456,1
D2H-Paged,13.37543,0.04014,536870912,1
D2H-Paged,13.45378,0.07981,1073741824,1
D2H-Paged,0.00528,0.00001,64,1
D2H-Paged,0.01061,0.00001,128,1
D2H-Paged,0.02144,0.00001,256,1
D2H-Paged,0.04476,0.00001,512,1
D2H-Paged,0.08881,0.00001,1024,1
D2H-Paged,0.17297,0.00001,2048,1
D2H-Paged,0.34682,0.00001,4096,1
D2H-Paged,0.65746,0.00001,8192,1
D2H-Paged,1.23188,0.00001,16384,1
D2H-Paged,2.20809,0.00001,32768,1
D2H-Paged,3.56756,0.00002,65536,1
D2H-Paged,5.14815,0.00003,131072,1
D2H-Paged,5.93758,0.00004,262144,1
D2H-Paged,8.08588,0.00006,524288,1
D2H-Paged,9.04959,0.00012,1048576,1
D2H-Paged,9.15947,0.00023,2097152,1
D2H-Paged,11.58136,0.00036,4194304,1
D2H-Paged,11.81877,0.00071,8388608,1
D2H-Paged,13.16263,0.00127,16777216,1
D2H-Paged,12.84798,0.00261,33554432,1
D2H-Paged,12.62598,0.00532,67108864,1
D2H-Paged,13.17336,0.01019,134217728,1
D2H-Paged,13.40926,0.02002,268435456,1
D2H-Paged,13.35382,0.04020,536870912,1
D2H-Paged,12.60382,0.08519,1073741824,1
D2H-Paged,0.00558,0.00001,64,1
D2H-Paged,0.01127,0.00001,128,1
D2H-Paged,0.02164,0.00001,256,1
