type,bw,lat,size,id
H2D-Paged,0.00760,0.00001,64,1
H2D-Paged,0.01586,0.00001,128,1
H2D-Paged,0.02994,0.00001,256,1
H2D-Paged,0.06066,0.00001,512,1
H2D-Paged,0.11416,0.00001,1024,1
H2D-Paged,0.23273,0.00001,2048,1
H2D-Paged,0.41542,0.00001,4096,1
H2D-Paged,0.76347,0.00001,8192,1
H2D-Paged,1.33420,0.00001,16384,1
H2D-Paged,1.96098,0.00002,32768,1
H2D-Paged,3.09863,0.00002,65536,1
H2D-Paged,5.61336,0.00002,131072,1
H2D-Paged,7.48769,0.00004,262144,1
H2D-Paged,8.42772,0.00006,524288,1
H2D-Paged,9.40680,0.00011,1048576,1
H2D-Paged,9.57604,0.00022,2097152,1
H2D-Paged,10.09921,0.00042,4194304,1
H2D-Paged,10.12615,0.00083,8388608,1
H2D-Paged,10.23381,0.00164,16777216,1
H2D-Paged,10.39158,0.00323,33554432,1
H2D-Paged,10.36362,0.00648,67108864,1
H2D-Paged,10.19958,0.01316,134217728,1
H2D-Paged,9.87935,0.02717,268435456,1
H2D-Paged,9.82251,0.05466,536870912,1
H2D-Paged,9.76694,0.10994,1073741824,1
H2D-Paged,0.00722,0.00001,64,1
H2D-Paged,0.01550,0.00001,128,1
H2D-Paged,0.03012,0.00001,256,1
H2D-Paged,0.06252,0.00001,512,1
H2D-Paged,0.11730,0.00001,1024,1
H2D-Paged,0.23981,0.00001,2048,1
H2D-Paged,0.42140,0.00001,4096,1
H2D-Paged,0.78168,0.00001,8192,1
H2D-Paged,1.30654,0.00001,16384,1
H2D-Paged,2.00049,0.00002,32768,1
H2D-Paged,3.12225,0.00002,65536,1
H2D-Paged,5.78174,0.00002,131072,1
H2D-Paged,7.47275,0.00004,262144,1
H2D-Paged,8.73376,0.00006,524288,1
H2D-Paged,9.87453,0.00011,1048576,1
H2D-Paged,9.76282,0.00021,2097152,1
H2D-Paged,11.17706,0.00038,4194304,1
H2D-Paged,10.25615,0.00082,8388608,1
H2D-Paged,10.65978,0.00157,16777216,1
H2D-Paged,10.58529,0.00317,33554432,1
H2D-Paged,10.62523,0.00632,67108864,1
H2D-Paged,10.16420,0.01320,134217728,1
H2D-Paged,10.02991,0.02676,268435456,1
H2D-Paged,9.90131,0.05422,536870912,1
H2D-Paged,9.69333,0.11077,1073741824,1
H2D-Paged,0.00799,0.00001,64,1
H2D-Paged,0.01537,0.00001,128,1
H2D-Paged,0.03077,0.00001,256,1
H2D-Paged,0.06095,0.00001,512,1
H2D-Paged,0.12518,0.00001,1024,1
H2D-Paged,0.23731,0.00001,2048,1
