type,bw,lat,size,id
D2H-Pinned,0.03395,0.00000,64,1
D2H-Pinned,0.06887,0.00000,128,1
D2H-Pinned,0.13640,0.00000,256,1
D2H-Pinned,0.26977,0.00000,512,1
D2H-Pinned,0.50988,0.00000,1024,1
D2H-Pinned,0.98144,0.00000,2048,1
D2H-Pinned,2.19141,0.00000,4096,1
D2H-Pinned,3.96101,0.00000,8192,1
D2H-Pinned,8.66035,0.00000,16384,1
D2H-Pinned,16.45773,0.00000,32768,1
D2H-Pinned,21.49905,0.00000,65536,1
D2H-Pinned,27.84879,0.00000,131072,1
D2H-Pinned,33.30082,0.00001,262144,1
D2H-Pinned,37.57885,0.00001,524288,1
D2H-Pinned,39.39314,0.00003,1048576,1
D2H-Pinned,41.18626,0.00005,2097152,1
D2H-Pinned,41.78246,0.00010,4194304,1
D2H-Pinned,39.22785,0.00021,8388608,1
D2H-Pinned,39.16177,0.00043,16777216,1
D2H-Pinned,39.01285,0.00086,33554432,1
D2H-Pinned,39.01110,0.00172,67108864,1
D2H-Pinned,39.00609,0.00344,134217728,1
D2H-Pinned,38.91740,0.00690,268435456,1
D2H-Pinned,38.95990,0.01378,536870912,1
D2H-Pinned,38.95190,0.02757,1073741824,1
D2H-Pinned,0.03064,0.00000,64,1
D2H-Pinned,0.06818,0.00000,128,1
D2H-Pinned,0.13629,0.00000,256,1
D2H-Pinned,0.27013,0.00000,512,1
D2H-Pinned,0.54164,0.00000,1024,1
D2H-Pinned,1.09458,0.00000,2048,1
D2H-Pinned,2.19969,0.00000,4096,1
D2H-Pinned,4.35893,0.00000,8192,1
D2H-Pinned,8.66035,0.00000,16384,1
D2H-Pinned,16.49485,0.00000,32768,1
D2H-Pinned,21.87567,0.00000,65536,1
D2H-Pinned,27.73565,0.00000,131072,1
D2H-Pinned,32.87452,0.00001,262144,1
D2H-Pinned,37.62804,0.00001,524288,1
D2H-Pinned,39.39408,0.00003,1048576,1
D2H-Pinned,41.28850,0.00005,2097152,1
D2H-Pinned,41.97864,0.00010,4194304,1
D2H-Pinned,40.27903,0.00021,8388608,1
D2H-Pinned,39.10391,0.00043,16777216,1
D2H-Pinned,39.07328,0.00086,33554432,1
D2H-Pinned,39.02937,0.00172,67108864,1
D2H-Pinned,38.94482,0.00345,134217728,1
D2H-Pinned,38.93958,0.00689,268435456,1
D2H-Pinned,38.94973,0.01378,536870912,1
D2H-Pinned,38.96398,0.02756,1073741824,1
D2H-Pinned,0.03384,0.00000,64,1
D2H-Pinned,0.06752,0.00000,128,1
D2H-Pinned,0.13302,0.00000,256,1
D2H-Pinned,0.27229,0.00000,512,1
D2H-Pinned,0.50947,0.00000,1024,1
D2H-Pinned,1.02285,0.00000,2048,1
D2H-Pinned,2.00250,0.00000,4096,1
D2H-Pinned,4.36637,0.00000,8192,1
D2H-Pinned,8.64135,0.00000,16384,1
D2H-Pinned,16.43924,0.00000,32768,1
D2H-Pinned,22.04996,0.00000,65536,1
D2H-Pinned,27.31395,0.00000,131072,1
D2H-Pinned,33.32113,0.00001,262144,1
D2H-Pinned,37.34160,0.00001,524288,1
D2H-Pinned,39.37279,0.00003,1048576,1
D2H-Pinned,41.41034,0.00005,2097152,1
D2H-Pinned,41.96882,0.00010,4194304,1
D2H-Pinned,40.08312,0.00021,8388608,1
D2H-Pinned,39.06175,0.00043,16777216,1
D2H-Pinned,39.04420,0.00086,33554432,1
D2H-Pinned,39.01802,0.00172,67108864,1
D2H-Pinned,38.98414,0.00344,134217728,1
D2H-Pinned,38.92302,0.00690,268435456,1
D2H-Pinned,38.98576,0.01377,536870912,1
D2H-Pinned,38.94926,0.02757,1073741824,1
D2H-Pinned,0.03360,0.00000,64,1
D2H-Pinned,0.06742,0.00000,128,1
D2H-Pinned,0.13601,0.00000,256,1
D2H-Pinned,0.26591,0.00000,512,1
D2H-Pinned,0.54256,0.00000,1024,1
D2H-Pinned,1.01878,0.00000,2048,1
D2H-Pinned,2.19856,0.00000,4096,1
D2H-Pinned,4.36786,0.00000,8192,1
D2H-Pinned,8.65303,0.00000,16384,1
D2H-Pinned,15.78785,0.00000,32768,1
D2H-Pinned,21.56925,0.00000,65536,1
D2H-Pinned,27.79587,0.00000,131072,1
D2H-Pinned,32.98438,0.00001,262144,1
D2H-Pinned,37.60558,0.00001,524288,1
D2H-Pinned,39.39503,0.00003,1048576,1
D2H-Pinned,41.27394,0.00005,2097152,1
