size,bw
64,0.032955
128,0.068134
256,0.13489800000000002
512,0.266443
1024,0.535365
2048,1.062061
4096,2.169402
8192,4.244646
16384,8.730903999999999
32768,16.250858
65536,21.843072999999997
131072,27.699316
262144,33.206238
524288,37.461675
1048576,39.284603
2097152,41.308124
4194304,41.680076
8388608,40.173410000000004
16777216,39.298863999999995
33554432,39.031955999999994
67108864,39.034642000000005
134217728,39.004307999999995
268435456,38.963397
536870912,38.957984999999994
1073741824,38.959399000000005
