type,bw,lat,size,id
H2D-Pinned,0.02966,0.00000,64,1
H2D-Pinned,0.06246,0.00000,128,1
H2D-Pinned,0.12731,0.00000,256,1
H2D-Pinned,0.25221,0.00000,512,1
H2D-Pinned,0.50000,0.00000,1024,1
H2D-Pinned,1.01911,0.00000,2048,1
H2D-Pinned,1.91531,0.00000,4096,1
H2D-Pinned,3.88585,0.00000,8192,1
H2D-Pinned,7.01754,0.00000,16384,1
H2D-Pinned,12.76490,0.00000,32768,1
H2D-Pinned,18.31679,0.00000,65536,1
H2D-Pinned,27.70001,0.00000,131072,1
H2D-Pinned,33.81770,0.00001,262144,1
H2D-Pinned,37.94262,0.00001,524288,1
H2D-Pinned,39.92154,0.00003,1048576,1
H2D-Pinned,41.50685,0.00005,2097152,1
H2D-Pinned,42.36000,0.00010,4194304,1
H2D-Pinned,42.67577,0.00020,8388608,1
H2D-Pinned,42.88037,0.00039,16777216,1
H2D-Pinned,42.98262,0.00078,33554432,1
H2D-Pinned,43.03799,0.00156,67108864,1
H2D-Pinned,43.06363,0.00312,134217728,1
H2D-Pinned,43.07670,0.00623,268435456,1
H2D-Pinned,43.08363,0.01246,536870912,1
H2D-Pinned,43.08712,0.02492,1073741824,1
H2D-Pinned,0.03001,0.00000,64,1
H2D-Pinned,0.05427,0.00000,128,1
H2D-Pinned,0.12773,0.00000,256,1
H2D-Pinned,0.25625,0.00000,512,1
H2D-Pinned,0.51045,0.00000,1024,1
H2D-Pinned,1.01314,0.00000,2048,1
H2D-Pinned,2.02917,0.00000,4096,1
H2D-Pinned,3.65401,0.00000,8192,1
H2D-Pinned,6.35315,0.00000,16384,1
H2D-Pinned,11.48240,0.00000,32768,1
H2D-Pinned,19.23547,0.00000,65536,1
H2D-Pinned,26.62506,0.00000,131072,1
H2D-Pinned,33.01894,0.00001,262144,1
H2D-Pinned,37.78859,0.00001,524288,1
H2D-Pinned,39.94003,0.00003,1048576,1
H2D-Pinned,41.46352,0.00005,2097152,1
H2D-Pinned,42.30436,0.00010,4194304,1
H2D-Pinned,42.66785,0.00020,8388608,1
H2D-Pinned,42.87872,0.00039,16777216,1
H2D-Pinned,42.97931,0.00078,33554432,1
H2D-Pinned,43.03689,0.00156,67108864,1
H2D-Pinned,43.06279,0.00312,134217728,1
H2D-Pinned,43.07697,0.00623,268435456,1
H2D-Pinned,43.08360,0.01246,536870912,1
H2D-Pinned,43.08718,0.02492,1073741824,1
H2D-Pinned,0.03157,0.00000,64,1
H2D-Pinned,0.06417,0.00000,128,1
H2D-Pinned,0.12784,0.00000,256,1
H2D-Pinned,0.21816,0.00000,512,1
H2D-Pinned,0.46756,0.00000,1024,1
H2D-Pinned,0.99828,0.00000,2048,1
H2D-Pinned,1.97836,0.00000,4096,1
H2D-Pinned,3.68664,0.00000,8192,1
H2D-Pinned,7.22246,0.00000,16384,1
H2D-Pinned,11.63372,0.00000,32768,1
H2D-Pinned,18.03293,0.00000,65536,1
H2D-Pinned,27.73565,0.00000,131072,1
H2D-Pinned,33.72026,0.00001,262144,1
H2D-Pinned,37.22960,0.00001,524288,1
H2D-Pinned,39.94782,0.00003,1048576,1
H2D-Pinned,41.52079,0.00005,2097152,1
H2D-Pinned,42.31337,0.00010,4194304,1
H2D-Pinned,42.67243,0.00020,8388608,1
H2D-Pinned,42.88111,0.00039,16777216,1
H2D-Pinned,42.98391,0.00078,33554432,1
H2D-Pinned,43.03774,0.00156,67108864,1
H2D-Pinned,43.06325,0.00312,134217728,1
H2D-Pinned,43.07637,0.00623,268435456,1
H2D-Pinned,43.08368,0.01246,536870912,1
H2D-Pinned,43.08715,0.02492,1073741824,1
H2D-Pinned,0.03040,0.00000,64,1
