App,mode,h2d_bytes,h2d_time,h2d_cnt,d2h_bytes,d2h_time,d2h_cnt,d2d_bytes,d2d_time,d2d_cnt,src_pin_cnt,src_page_cnt,src_dev_cnt,src_man_cnt
BN,base,0.11,3809690,4502,37.59700000000001,9686355,9001,0.0,0,0,1,4501,9001,0
CNN,base,180.01300000000003,112608009,120007,0.0,60351675,60001,0.0,0,0,0,120007,60001,0
kmeans,base,8.0,190664,4,4.0,1934101,3,0.0,0,0,4,0,3,0
knn,base,1048.0,28273717,2000,656.0,18871892,2000,0.0,0,0,0,2000,2000,0
log-reg,base,100.154,2331133,3,0.004,1344,1,0.0,0,0,3,0,1,0
backprop,base,13.633,324078,5,4.981,120004,3,0.0,0,0,3,2,3,0
dwt2d,base,3.146,75811,1,12.582,429969,3,16.515,24417,9,1,0,12,0
hotspot,base,2.098,55650,2,1.049,25761,1,0.0,0,0,2,0,1,0
hotspot3D,base,16.778,402576,2,8.389,203848,1,0.0,0,0,2,0,1,0
nw,base,33.588,814430,2,16.794,391534,1,0.0,0,0,2,0,1,0
partfil,base,0.19300000000000003,10881,6,0.024,4256,3,0.0,0,0,0,6,3,0
pathfinder,base,40.0,946626,2,0.4,10912,1,0.0,0,0,2,0,1,0
sc,base,3867.4580000000005,96512576,3223,2295.558,126043414,3222,0.0,0,0,3223,0,3222,0
2DCONV,base,67.109,1578103,1,67.109,1569431,1,0.0,0,0,1,0,1,0
2MM,base,83.885,1968036,5,16.777,400974,1,0.0,0,0,5,0,1,0
3DCONV,base,134.218,3136716,2,67.109,1569398,1,0.0,0,0,2,0,1,0
3MM,base,7.342999999999998,200645,7,1.049,26049,1,0.0,0,0,7,0,1,0
ATAX,base,67.15700000000001,1578005,4,0.016,2208,1,0.0,0,0,4,0,1,0
BICG,base,67.17300000000002,1579541,5,0.032,3712,2,0.0,0,0,5,0,2,0
CORR,base,33.604000000000006,807706,5,16.794,391757,1,0.0,0,0,4,1,1,0
COVAR,base,33.596000000000004,801657,3,16.794,400844,1,0.0,0,0,3,0,1,0
FDTD-2D,base,50.349000000000004,1194728,4,16.777,391500,1,0.0,0,0,4,0,1,0
GEMM,base,314.574,7316680,3,104.858,2445966,1,0.0,0,0,3,0,1,0
GESUMMV,base,134.26599999999996,3133795,5,0.016,2304,1,0.0,0,0,5,0,1,0
GRAMSCHM,base,16.777,405708,1,16.777,392013,1,0.0,0,0,1,0,1,0
MVT,base,67.17300000000002,1579473,5,0.032,3808,2,0.0,0,0,5,0,2,0
SYR2K,base,50.331,1199302,3,16.777,391757,1,0.0,0,0,3,0,1,0
SYRK,base,8.388,226119,2,4.194,98947,1,0.0,0,0,2,0,1,0
sssp_tigr,base,708.412,82263745,21,19.39,1905783,16,0.0,0,0,0,21,16,0
sswp_tigr,base,708.412,78396469,21,19.39,1789782,16,0.0,0,0,0,21,16,0
bfs_dtc,base,0.246,17630,12,0.004,6654,6,0.0,0,0,0,12,6,0
bet,base,0.246,4049075,5056,0.004,4846035,5055,0.0,0,0,0,5056,5055,0
gc_dtc,base,0.258,95866,93,0.004,89563,87,0.0,0,0,0,93,87,0
gc_dwc,base,0.258,95994,93,0.004,89079,87,0.0,0,0,0,93,87,0
sssp_dtc,base,0.365,21472,13,0.004,6720,6,0.0,0,0,0,13,6,0
tri_cnt,base,0.246,9216,3,0.004,2560,2,0.0,0,0,0,3,2,0
