App,mode,h2d_bytes,h2d_time,h2d_cnt,d2h_bytes,d2h_time,d2h_cnt,d2d_bytes,d2d_time,d2d_cnt,src_pin_cnt,src_page_cnt,src_dev_cnt,src_man_cnt
BN,cc,0.108,5286156,4501,0.0,0,0,37.599000000000004,18829165,9002,0,4501,9001,1
CNN,cc,180.01300000000003,136591329,120007,0.0,66380426,60001,0.0,0,0,0,120007,60001,0
kmeans,cc,0.0,0,0,4.0,2155878,1,8.0,2130565,6,0,0,3,4
knn,cc,1048.0,61513245,2000,656.0,20301850,2000,0.0,0,0,0,2000,2000,0
log-reg,cc,0.0,0,0,0.0,0,0,100.158,38537488,4,0,0,1,3
backprop,cc,0.262,17600,2,0.524,16576,2,17.828,4804246,4,0,2,3,3
dwt2d,cc,0.0,0,0,0.0,0,0,32.243,3154938,13,0,0,12,1
hotspot,cc,0.0,0,0,0.0,0,0,3.147,126530,3,0,0,1,2
hotspot3D,cc,0.0,0,0,0.0,0,0,25.166999999999998,9196645,3,0,0,1,2
nw,cc,0.0,0,0,0.0,0,0,50.382000000000005,19530560,3,0,0,1,2
partfil,cc,0.19300000000000003,17601,6,0.024,3903,3,0.0,0,0,0,6,3,0
pathfinder,cc,0.0,0,0,0.0,0,0,40.4,15091088,3,0,0,1,2
sc,cc,0.0,0,0,2295.558,291803784,3222,3867.4580000000005,714312736,3223,0,0,3222,3223
2DCONV,cc,0.0,0,0,0.0,0,0,134.218,61974527,2,0,0,1,1
2MM,cc,0.0,0,0,0.0,0,0,100.662,37588009,6,0,0,1,5
3DCONV,cc,0.0,0,0,0.0,0,0,201.327,86237654,3,0,0,1,2
3MM,cc,0.0,0,0,0.0,0,0,8.392,377447,8,0,0,1,7
ATAX,cc,0.0,0,0,0.0,0,0,67.17300000000002,24072916,5,0,0,1,4
BICG,cc,0.0,0,0,0.0,0,0,67.20500000000003,24055924,7,0,0,2,5
CORR,cc,0.0,1120,1,0.0,0,0,50.39800000000001,20246159,5,0,1,1,4
COVAR,cc,0.0,0,0,0.0,0,0,50.39,20316559,4,0,0,1,3
FDTD-2D,cc,0.0,0,0,0.0,0,0,67.126,25021989,5,0,0,1,4
GEMM,cc,0.0,0,0,0.0,0,0,419.432,177006148,4,0,0,1,3
GESUMMV,cc,0.0,0,0,0.0,0,0,134.28199999999995,50830847,6,0,0,1,5
GRAMSCHM,cc,0.0,0,0,0.0,0,0,33.554,13689844,2,0,0,1,1
MVT,cc,0.0,0,0,0.0,0,0,67.20500000000003,24138310,7,0,0,2,5
SYR2K,cc,0.0,0,0,0.0,0,0,67.108,24764849,4,0,0,1,3
SYRK,cc,0.0,0,0,0.0,0,0,12.582,3636937,3,0,0,1,2
sssp_tigr,cc,708.412,268493992,21,19.39,7213157,16,0.0,0,0,0,21,16,0
sswp_tigr,cc,708.412,267357220,21,19.39,7234837,16,0.0,0,0,0,21,16,0
bfs_dtc,cc,0.246,27680,12,0.004,7360,6,0.0,0,0,0,12,6,0
bet,cc,0.246,5742907,5056,0.004,5546866,5055,0.0,0,0,0,5056,5055,0
gc_dtc,cc,0.258,123029,93,0.004,96479,87,0.0,0,0,0,93,87,0
gc_dwc,cc,0.258,122682,93,0.004,95938,87,0.0,0,0,0,93,87,0
sssp_dtc,cc,0.365,37440,13,0.004,7040,6,0.0,0,0,0,13,6,0
tri_cnt,cc,0.246,17087,3,0.004,3008,2,0.0,0,0,0,3,2,0
