App,mode,hmalloc,gmalloc,free,all
BN,base,12575076,12820002,4926603,30321681
CNN,base,0,164548394,9731425,174279819
kmeans,base,171150074,171485795,402817,343038686
knn,base,0,117571437,144053483,261624920
log-reg,base,205866233,206305684,2849935,415021852
backprop,base,167346908,167670960,186941,335204809
dwt2d,base,5931696,6472467,2984887,15389050
hotspot,base,169659139,169873487,175445,339708071
hotspot3D,base,176993045,177330675,243456,354567176
nw,base,189241766,189450439,211973,378904178
partfil,base,0,167472101,140695,167612796
pathfinder,base,179389220,179647969,216251,359253440
sc,base,191650544,227510856,44888172,464049572
2DCONV,base,241940414,242130593,242505,484313512
2MM,base,209628712,209984460,356619,419969791
3DCONV,base,243389583,243572042,235316,487196941
3MM,base,168019430,168264364,266299,336550093
ATAX,base,204366240,204578359,222620,409167219
BICG,base,190209889,190487038,221045,380917972
CORR,base,188500909,188762863,270478,377534250
COVAR,base,188384478,188667103,277411,377328992
FDTD-2D,base,191138428,191461278,314803,382914509
GEMM,base,328104342,328388874,356421,656849637
GESUMMV,base,219143232,219395155,6906,438545293
GRAMSCHM,base,198007000,198264224,301410,396572634
MVT,base,193582143,193816144,232718,387631005
SYR2K,base,191089967,191331522,254124,382675613
SYRK,base,173829571,173973859,185721,347989151
sssp_tigr,base,0,571779,171815992,172387771
sswp_tigr,base,0,576740,167091670,167668410
bfs_dtc,base,0,171879304,236664,172115968
bet,base,0,166363954,146945,166510899
gc_dtc,base,0,163155929,248984,163404913
gc_dwc,base,0,166443466,256825,166700291
sssp_dtc,base,0,165650842,239733,165890575
tri_cnt,base,0,165721966,186925,165908891
