App,mode,hmalloc,gmalloc,free,all
BN,cc,28506585,28874178,2118298,59499061
CNN,cc,0,1122522349,2919681,1125442030
kmeans,cc,1171424441,1171872828,1308027,2344605296
knn,cc,0,180453017,301918759,482371776
log-reg,cc,1177911019,1178481404,7904733,2364297156
backprop,cc,1160754512,1161198830,1022778,2322976120
dwt2d,cc,25068304,25849385,2084343,53002032
hotspot,cc,1186697638,1187015329,1668188,2375381155
hotspot3D,cc,1171850046,1172216112,1881292,2345947450
nw,cc,1167091523,1167345456,3009756,2337446735
partfil,cc,0,1135485832,255892,1135741724
pathfinder,cc,1173914434,1174291629,2484586,2350690649
sc,cc,1194864294,1248102244,118482491,2561449029
2DCONV,cc,1193479322,1193776844,9934607,2397190773
2MM,cc,1171354671,1171853824,6066211,2349274706
3DCONV,cc,1214078341,1214335461,9966964,2438380766
3MM,cc,1167847365,1168222016,1245047,2337314428
ATAX,cc,1193296363,1193556555,3686704,2390539622
BICG,cc,1178224791,1178487837,3764451,2360477079
CORR,cc,1166214348,1166560852,3096239,2335871439
COVAR,cc,1182702545,1183059708,3086442,2368848695
FDTD-2D,cc,1188909133,1189359746,5165899,2383434778
GEMM,cc,1243843297,1244342504,20323016,2508508817
GESUMMV,cc,1236987154,1237375518,6415835,2480778507
GRAMSCHM,cc,1190569893,1190949543,3870376,2385389812
MVT,cc,1220298150,1220628826,3763705,2444690681
SYR2K,cc,1202277964,1202667365,3859445,2408804774
SYRK,cc,1165728662,1165950348,1080699,2332759709
sssp_tigr,cc,0,805194,1285929150,1286734344
sswp_tigr,cc,0,794854,1097714383,1098509237
bfs_dtc,cc,0,1267732510,429783,1268162293
bet,cc,0,1104218795,257214,1104476009
gc_dtc,cc,0,1110905007,485464,1111390471
gc_dwc,cc,0,1117080503,534473,1117614976
sssp_dtc,cc,0,1111607112,390860,1111997972
tri_cnt,cc,0,1108087984,307344,1108395328
