App,mode,tot_time,launch_queue_dur,kern_launch_dur,queue_dur,kernel_num,average_launch_dur,average_queue_dur
CNN,base,15499537612.0,7073277219,8426260393.0,11456413559.0,1500009,4715.489853060882,7637.563213954049
kmeans,base,33421419.0,33273813,147606.0,4540931859957.0,500,66547.626,9081863719.914
knn,base,4821850330.0,29676291,4792174039.0,4572249930.0,3000,9892.097,1524083.31
log-reg,base,759811229.0,608715688,151095541.0,723914411736.0,40000,15217.8922,18097860.2934
dwt2d,base,59056029.0,55379152,3676877.0,19057.0,10,5537915.2,1905.7
hotspot3D,base,597711.0,567293,30418.0,188882387.0,100,5672.93,1888823.87
nw,base,28257982.0,28183588,74394.0,15628097.0,255,110523.87450980392,61286.654901960785
partfil,base,56874172.0,56862456,11716.0,37702491.0,36,1579512.6666666667,1047291.4166666666
pathfinder,base,20088212.0,20084524,3688.0,36655.0,5,4016904.8,7331.0
sc,base,2351724099.0,14025430,2337698669.0,1654814.0,1611,8706.039726877716,1027.1967721911856
2MM,base,29619677.0,20294766,9324911.0,511.0,2,10147383.0,255.5
3DCONV,base,32520046.0,32459625,60421.0,465555.0,254,127793.79921259843,1832.8937007874015
3MM,base,13737013.0,13366715,370298.0,2642.0,3,4455571.666666667,880.6666666666666
ATAX,base,22269436.0,21562472,706964.0,909.0,2,10781236.0,454.5
BICG,base,6015843.0,4380473,1635370.0,649.0,2,2190236.5,324.5
CORR,base,5138625.0,4285793,852832.0,3535.0,4,1071448.25,883.75
COVAR,base,41074448.0,40602609,471839.0,2535.0,3,13534203.0,845.0
FDTD-2D,base,47173072.0,10342994,36830078.0,2932784.0,1500,6895.329333333333,1955.1893333333333
GRAMSCHM,base,1689708014.0,50684052,1639023962.0,9737249.0,6144,8249.357421875,1584.8387044270833
MVT,base,31446781.0,31443238,3543.0,677341.0,2,15721619.0,338670.5
sssp_tigr,base,3864917.0,383262,3481655.0,3190732.0,30,12775.4,106357.73333333334
sswp_tigr,base,3858345.0,367187,3491158.0,3198643.0,30,12239.566666666668,106621.43333333333
bfs_dtc,base,789820.0,243177,546643.0,6071.0,6,40529.5,1011.8333333333334
bet,base,315170637.0,53234468,261936169.0,333333562.0,11108,4792.44400432121,30008.42293842276
gc_dtc,base,4562175.0,594587,3967588.0,145479.0,87,6834.333333333333,1672.1724137931035
gc_dwc,base,6576437.0,645262,5931175.0,146951.0,87,7416.80459770115,1689.0919540229886
tri_cnt,base,968463.0,822890,145573.0,3145829.0,4,205722.5,786457.25
