App,mode,tot_time,launch_queue_dur,kern_launch_dur,queue_dur,kernel_num,average_launch_dur,average_queue_dur
CNN,cc,40191088245.0,18696436976,21494651269.0,11820131890.0,1500009,12464.216532034141,7880.040646422788
kmeans,cc,6579880.0,6348203,231677.0,4537993281661.0,500,12696.406,9075986563.322
knn,cc,5663788202.0,63995561,5599792641.0,4555577429.0,3000,21331.853666666666,1518525.8096666667
log-reg,cc,715897206.0,603662122,112235084.0,537728339044.0,40000,15091.55305,13443208.4761
dwt2d,cc,98006530.0,78454849,19551681.0,61254.0,10,7845484.9,6125.4
hotspot3D,cc,1345386.0,1301605,43781.0,150732741.0,100,13016.05,1507327.41
nw,cc,51492099.0,51362057,130042.0,1905422.0,255,201419.83137254903,7472.243137254902
partfil,cc,47368868.0,47353055,15813.0,30028740.0,36,1315362.638888889,834131.6666666666
pathfinder,cc,15474338.0,15469310,5028.0,23467.0,5,3093862.0,4693.4
sc,cc,5277791722.0,43348898,5234442824.0,12021928.0,1611,26908.068280571075,7462.400993171943
2MM,cc,46284262.0,36954796,9329466.0,9188.0,2,18477398.0,4594.0
3DCONV,cc,55964287.0,55876030,88257.0,1913445.0,254,219984.37007874015,7533.248031496063
3MM,cc,12244748.0,11819904,424844.0,14304.0,3,3939968.0,4768.0
ATAX,cc,15043386.0,14323474,719912.0,10301.0,2,7161737.0,5150.5
BICG,cc,3341620.0,1687633,1653987.0,9213.0,2,843816.5,4606.5
CORR,cc,3269452.0,2365556,903896.0,23886.0,4,591389.0,5971.5
COVAR,cc,73984544.0,73475898,508646.0,14830.0,3,24491966.0,4943.333333333333
FDTD-2D,cc,81597331.0,19948058,61649273.0,11680528.0,1500,13298.705333333333,7787.018666666667
GRAMSCHM,cc,1822622519.0,87450556,1735171963.0,43387253.0,6144,14233.488932291666,7061.727376302083
MVT,cc,28097983.0,28096036,1947.0,649812.0,2,14048018.0,324906.0
sssp_tigr,cc,4583736,654393,3929343,3251861,30,21813.1,108395.36666666667
sswp_tigr,cc,4686367,730792,3955575,3261756,30,24359.733333333334,108725.2
bfs_dtc,cc,1962696.0,813054,1149642.0,35504.0,6,135509.0,5917.333333333333
bet,cc,499833880.0,154049387,345784493.0,301812023.0,11108,13868.327961829313,27170.689863161686
gc_dtc,cc,7549468.0,1401911,6147557.0,659025.0,87,16113.919540229885,7575.0
gc_dwc,cc,9116752.0,1440670,7676082.0,645651.0,87,16559.42528735632,7421.275862068966
tri_cnt,cc,2283599.0,1633905,649694.0,3043121.0,4,408476.25,760780.25
